name,specialty,Mobile No.,   experience
"Diem Truong, LAc, MSTOM",Acupuncturist,9575929795,6
"Monique Rivera, LAc",Acupuncturist,3075252372,21
"Ronald Pratt, LAc, DiplAc, MA, MSAc",Acupuncturist,3317848838,4
"Daniel Camburn, LAc",Acupuncturist,5744281499,22
"Deborah Barbiere, LAc, MSTOM, PsyD",Acupuncturist,4257678862,30
"Miguel Maya, MSTOM, LAc",Acupuncturist,1176048082,27
"Elizabeth Healy, LAc",Acupuncturist,4607995011,20
"Irina Logman, LAc, DACM",Acupuncturist,2086208566,19
"Han Jun, LAc",Acupuncturist,5638862180,17
"Michiko Yoshifuji, DiplAc, LAc",Acupuncturist,6585692556,21
"Maiko Hattori, LAc",Acupuncturist,5303809656,16
"Diem Truong, LAc, MSTOM",Acupuncturist,5928820387,23
"Jennifer Beltrani, LAc",Acupuncturist,8426813402,2
"Dr. Jimo (Timothy) Kang, LAc, PhD",Acupuncturist,3682311012,8
"Dr. Jimo (Timothy) Kang, LAc, PhD",Acupuncturist,6545836576,4
"Dr. Brandon Cooper, DC, LAc, DiplAc",Acupuncturist,1023305705,9
"Timothy Klemt, LAc, DACM",Acupuncturist,1673203296,11
"Ji Sung Kim, LAc",Acupuncturist,7591091499,10
"Kirsten Manges, LAc",Acupuncturist,6509601348,9
"Jing Jiang, LAc",Acupuncturist,4133166528,18
"Diem Truong, LAc, MSTOM",Acupuncturist,7071355937,19
"Kirsten Manges, LAc",Acupuncturist,8546472296,11
"Jing Jiang, LAc",Acupuncturist,5607837360,18
"Dr. Ai Lee, PhD",Acupuncturist,7999697535,2
"Erin Lee, LAc, DACM",Acupuncturist,7746407308,10
"Jonathan Simon, LAc",Acupuncturist,4089697354,1
"Tammy Huang, MSTOM, LAc",Acupuncturist,3009848018,3
"Dong Hwan Lee, LAc",Acupuncturist,3849983690,5
"Jodi Gentili, LAc",Acupuncturist,8096118211,24
"Boris Bernadsky, LAc, LMT",Acupuncturist,4878247459,9
"Xinyu (Allison) Cheng, LAc",Acupuncturist,8436384966,17
"Qian Li, LAc",Acupuncturist,7710123940,6
"Anna Hajosi, LAc, MSAc",Acupuncturist,1833087511,19
"Deborah Valentin, LAc, MS",Acupuncturist,4879279298,27
"Ki Yin Cheng, LAc",Acupuncturist,3136689273,15
"Qi Yu, LAc",Acupuncturist,1837097555,4
"Dr. Brandon Cooper, DC, LAc, DiplAc",Acupuncturist,8321866798,1
"Lisa Sumption, LAc",Acupuncturist,8829562044,2
"Youngsoo Oh, PT",Acupuncturist,5603862912,20
